UAL_promoter,Plate,Well,Strand,Type,Distance,Group,Name,Genes
b2861,AZ18,G5,-1,gene,-88,3,insC1,insC1
yjeN,AZ18,G4,1,gene,-74,1,yjeN,yjeN
yjeN,AZ18,G4,1,Operon,-74,1,yjeNO,"yjeN,yjeO"
yjfI,AZ18,G7,1,gene,-47,2,yjfI,yjfI
yjeB,AZ18,G6,1,gene,-42,1,nsrR,nsrR
yjeB,AZ18,G6,1,Operon,-42,1,nsrR-rnr-rlmB-yjfIJ,"nsrR,rnr,rlmB,yjfI,yjfJ"
yojI,AZ14,D1,-1,gene,-68,1,yojI,yojI
yojI,AZ14,D1,-1,Operon,-67,1,yojI,yojI
hisQ,AZ14,D2,-1,gene,-91,2,hisQ,hisQ
cysW,AZ14,D3,-1,gene,-507,2,cysW,cysW
ugpA,AZ14,D4,-1,gene,-99,2,ugpA,ugpA
dppB,AZ14,D5,-1,gene,-92,2,dppB,dppB
pstC,AZ14,D6,-1,gene,-79,2,pstC,pstC
alsA,AZ14,D7,-1,gene,-70,2,alsA,alsA
phnC,AZ14,D8,-1,gene,-102,1,phnC,phnC
phnC,AZ14,D8,-1,Operon,-101,1,phnCDE_1E_2FGHIJKLMNOP,"phnC,phnD,phnE_1,phnE_2,phnF,phnG,phnH,phnI,phnJ,phnK,phnL,phnM,phnN,phnO,phnP"
ybdF,AZ14,D9,-1,gene,-68,1,ybdF,ybdF
ybdF,AZ14,D9,-1,Operon,-67,1,ybdF,ybdF
ybfF,AZ10,E8,-1,gene,-80,1,ybfF,ybfF
ybfF,AZ10,E8,-1,Operon,-79,1,ybfF,ybfF
rpsM,AZ19,C8,-1,gene,-91,1,rpsM,rpsM
rpsM,AZ19,C8,-1,Operon,-90,1,rpsMKD-rpoA-rplQ,"rpsM,rpsK,rpsD,rpoA,rplQ"
atpI,AZ02,D5,-1,gene,-77,1,atpI,atpI
atpI,AZ02,D5,-1,Operon,-76,1,atpIBEFHAGDC,"atpI,atpB,atpE,atpF,atpH,atpA,atpG,atpD,atpC"
serA,AZ09,C3,-1,gene,-86,1,serA,serA
serA,AZ09,C3,-1,Operon,-85,1,serA,serA
yhcO,AZ09,C2,-1,gene,-85,1,yhcO,yhcO
yhcO,AZ09,C2,-1,Operon,-84,1,yhcO,yhcO
yhbE,AZ09,C1,-1,gene,-99,2,yhbE,yhbE
yheO,AZ09,C7,-1,gene,-73,1,yheO,yheO
yheO,AZ09,C7,-1,Operon,-72,1,yheO-tusDCB,"yheO,tusD,tusC,tusB"
bfd,AZ09,C6,-1,gene,-79,1,bfd,bfd
bfd,AZ09,C6,-1,Operon,-78,1,bfd-bfr,"bfd,bfr"
yhdN,AZ09,C5,-1,gene,-96,1,yhdN,yhdN
yhdN,AZ09,C5,-1,Operon,-95,1,yhdN-zntR,"yhdN,zntR"
smf,AZ09,C4,-1,gene,-82,1,smf,smf
smf,AZ09,C4,-1,Operon,-81,1,smf,smf
ygjJ,AZ09,C9,1,gene,-83,1,ygjJ,ygjJ
ygjJ,AZ09,C9,1,Operon,-83,1,ygjJK,"ygjJ,ygjK"
yhfG,AZ09,C8,-1,gene,-86,1,yhfG,yhfG
yhfG,AZ09,C8,-1,Operon,-85,1,yhfG-fic-pabA,"yhfG,fic,pabA"
ahpC,AZ13,D11,1,gene,-56,1,ahpC,ahpC
ahpC,AZ13,D11,1,Operon,-56,1,ahpCF,"ahpC,ahpF"
thiL,AZ18,A6,1,gene,-25,2,thiL,thiL
dusB,AZ18,A4,1,gene,-93,1,dusB,dusB
dusB,AZ18,A4,1,Operon,-93,1,dusB-fis,"dusB,fis"
yabN,AZ16,D6,-1,gene,-88,1,sgrR,sgrR
yabN,AZ16,D6,-1,Operon,-87,1,sgrR-sroA-tbpA-thiPQ,"sgrR,sroA,tbpA,thiP,thiQ"
yebA,AZ16,D7,-1,gene,-151,1,mepM,mepM
yebA,AZ16,D7,-1,Operon,-150,1,mepM,mepM
ribE,AZ16,D4,-1,gene,-90,1,ribC,ribC
ribE,AZ16,D4,-1,Operon,-89,1,ribC,ribC
kdgR,AZ16,D5,-1,gene,-87,1,kdgR,kdgR
kdgR,AZ16,D5,-1,Operon,-86,1,kdgR,kdgR
ynfL,AZ16,D2,-1,gene,-91,1,ynfL,ynfL
ynfL,AZ16,D2,-1,Operon,-90,1,ynfL,ynfL
ydhB,AZ16,D3,-1,gene,-92,1,ydhB,ydhB
ydhB,AZ16,D3,-1,Operon,-91,1,ydhB,ydhB
fsr,AZ16,D1,-1,gene,-71,1,fsr,fsr
fsr,AZ16,D1,-1,Operon,-70,1,fsr,fsr
ptsA,AZ16,D8,-1,gene,2066,2,fsaB,fsaB
ptsA,AZ16,D8,-1,Operon,4118,1,yijF,yijF
gntP,AZ16,D9,-1,gene,-96,1,gntP,gntP
gntP,AZ16,D9,-1,Operon,-95,1,gntP,gntP
yafD,AZ12,C9,1,gene,-69,1,yafD,yafD
yafD,AZ12,C9,1,Operon,-69,1,yafDE,"yafD,yafE"
ybeB,AZ12,C8,-1,gene,-208,1,rsfS,rsfS
ybeB,AZ12,C8,-1,Operon,-207,1,rsfS-rlmH-mrdAB-rlpA,"rsfS,rlmH,mrdA,mrdB,rlpA"
yafU,AZ12,C7,-1,gene,-108,3,yafU,yafU
yafU,AZ12,C7,-1,Operon,-89,4,yafU,yafU
ompN,AZ12,C6,-1,gene,-72,4,ompN,ompN
ydeP,AZ12,C5,-1,gene,-82,1,ydeP,ydeP
ydeP,AZ12,C5,-1,Operon,-81,1,ydeP,ydeP
yrbA,AZ12,C4,-1,gene,-66,1,ibaG,ibaG
yrbA,AZ12,C4,-1,Operon,-65,1,ibaG-murA,"ibaG,murA"
serA,AZ12,C3,-1,gene,-86,1,serA,serA
serA,AZ12,C3,-1,Operon,-85,1,serA,serA
cytR,AZ12,C2,-1,gene,-90,1,cytR,cytR
cytR,AZ12,C2,-1,Operon,-89,1,cytR,cytR
yafV,AZ12,C1,-1,gene,-74,1,yafV,yafV
yafV,AZ12,C1,-1,Operon,-73,1,yafV,yafV
yffS,AZ17,B12,1,gene,-43,1,yffS,yffS
yffS,AZ17,B12,1,Operon,-43,1,yffS,yffS
yfdQ,AZ17,B11,1,gene,-103,3,yfdQ,yfdQ
yfdG,AZ17,B10,1,gene,-73,1,gtrA,gtrA
yfdG,AZ17,B10,1,Operon,-73,1,yfdGHI,"yfdG,yfdH,yfdI"
zntA,AZ16,H10,1,gene,-68,1,zntA,zntA
zntA,AZ16,H10,1,Operon,-68,1,zntA,zntA
lctP,AZ16,H11,1,gene,-76,1,lldP,lldP
lctP,AZ16,H11,1,Operon,-76,1,lldPRD,"lldP,lldR,lldD"
rbsD,AZ16,H12,1,gene,17,1,rbsD,rbsD
rbsD,AZ16,H12,1,Operon,17,1,rbsDACBKR,"rbsD,rbsA,rbsC,rbsB,rbsK,rbsR"
hdhA,AZ06,A10,-1,gene,-98,1,hdhA,hdhA
hdhA,AZ06,A10,-1,Operon,-97,1,hdhA,hdhA
pdxY,AZ06,A11,-1,gene,-73,2,pdxY,pdxY
yfhH,AZ14,B10,1,gene,19,1,yfhH,yfhH
yfhH,AZ14,B10,1,Operon,19,1,yfhH,yfhH
yrbG,AZ14,B11,1,gene,-101,1,yrbG,yrbG
yrbG,AZ14,B11,1,Operon,-101,1,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr,"yrbG,kdsD,kdsC,lptC,lptA,lptB,rpoN,hpf,ptsN,rapZ,npr"
yheS,AZ14,B12,1,gene,-101,1,yheS,yheS
yheS,AZ14,B12,1,Operon,-101,1,yheSTU,"yheS,yheT,yheU"
ubiE,AZ07,F6,1,gene,-86,1,ubiE,ubiE
ubiE,AZ07,F6,1,Operon,-86,1,ubiEJB,"ubiE,ubiJ,ubiB"
hemN,AZ07,F7,1,gene,-67,1,hemN,hemN
hemN,AZ07,F7,1,Operon,-67,1,hemN,hemN
pabC,AZ07,F4,1,gene,-38,1,pabC,pabC
pabC,AZ07,F4,1,Operon,-38,1,pabC-mltG-tmk-holB-ycfH,"pabC,mltG,tmk,holB,ycfH"
molR_2,AZ07,F5,1,Operon,-62,2,molR_2,molR_2
acpP,AZ07,F2,1,gene,-64,2,acpP,acpP
ftsN,AZ11,C8,-1,gene,-91,3,ftsN,ftsN
entF,AZ07,F1,1,gene,-298,2,ybdZ,ybdZ
entF,AZ07,F1,1,gene,-83,3,entF,entF
yjjV,AZ11,C6,1,gene,-184,2,yjjV,yjjV
ibpB,AZ11,C7,-1,gene,-66,2,ibpB,ibpB
otsB,AZ11,C4,-1,gene,-94,1,otsB,otsB
otsB,AZ11,C4,-1,Operon,-93,1,otsBA,"otsB,otsA"
nlpI,AZ11,C5,-1,gene,-97,1,nlpI,nlpI
nlpI,AZ11,C5,-1,Operon,-96,1,nlpI,nlpI
hslJ,AZ11,C2,-1,gene,-93,1,hslJ,hslJ
hslJ,AZ11,C2,-1,Operon,-92,1,hslJ,hslJ
serA,AZ11,C3,-1,gene,-86,1,serA,serA
serA,AZ11,C3,-1,Operon,-85,1,serA,serA
mog,AZ07,F8,1,gene,-48,1,mog,mog
mog,AZ07,F8,1,Operon,-48,1,mog,mog
pspE,AZ07,F9,1,gene,-73,2,pspE,pspE
clpX,AZ20,A8,1,gene,-29,2,clpX,clpX
aldB,AZ12,B12,-1,gene,7,1,aldB,aldB
aldB,AZ12,B12,-1,Operon,8,1,aldB,aldB
yehS,AZ12,B10,-1,gene,-89,1,yehS,yehS
yehS,AZ12,B10,-1,Operon,-88,1,yehS,yehS
yihN,AZ12,B11,1,gene,106,1,yihN,yihN
yihN,AZ12,B11,1,Operon,106,1,yihN,yihN
yfjW,AZ19,D11,1,gene,135,1,yfjW,yfjW
yfjW,AZ19,D11,1,Operon,135,1,yfjW,yfjW
smpB,AZ19,D10,1,gene,-43,1,smpB,smpB
smpB,AZ19,D10,1,Operon,-43,1,smpB,smpB
glgB,AZ09,A11,-1,gene,-99,1,glgB,glgB
glgB,AZ09,A11,-1,Operon,-98,1,glgBXCAP,"glgB,glgX,glgC,glgA,glgP"
serW,AZ08,D5,-1,gene,-74,1,serW,serW
serW,AZ08,D5,-1,Operon,-73,1,serW,serW
yadC,AZ08,D4,-1,gene,-98,3,yadC,yadC
pcnB,AZ08,D7,-1,gene,-116,1,pcnB,pcnB
pcnB,AZ08,D7,-1,Operon,-115,1,pcnB-folK,"pcnB,folK"
hepA,AZ08,D6,-1,gene,-70,1,rapA,rapA
hepA,AZ08,D6,-1,Operon,-69,1,rapA-rluA,"rapA,rluA"
yaeH,AZ08,D1,-1,gene,-82,1,yaeH,yaeH
yaeH,AZ08,D1,-1,Operon,-81,1,yaeH,yaeH
yagI,AZ08,D3,-1,gene,-74,1,yagI,yagI
yagI,AZ08,D3,-1,Operon,-73,1,yagI,yagI
ykfA,AZ08,D2,-1,gene,-86,1,ykfA,ykfA
ykfA,AZ08,D2,-1,Operon,-85,1,ykfA-yafZ,"ykfA,yafZ"
ybgS,AZ01,C12,-1,gene,-92,1,ybgS,ybgS
ybgS,AZ01,C12,-1,Operon,-91,1,ybgS,ybgS
pheS,AZ01,C11,-1,gene,-399,3,pheM,pheM
pheS,AZ01,C11,-1,gene,-71,4,pheS,pheS
dedA,AZ10,H10,-1,gene,-74,3,dedA,dedA
intS,AZ05,C7,1,gene,-272,1,argW,argW
intS,AZ05,C7,1,Operon,-272,1,argW,argW
intS,AZ05,C7,1,gene,-36,2,intS,intS
intS,AZ05,C7,1,Operon,-36,2,intS,intS
yfcC,AZ05,C6,1,gene,-60,1,yfcC,yfcC
yfcC,AZ05,C6,1,Operon,-60,1,yfcC,yfcC
yfbR,AZ05,C5,1,gene,-92,2,yfbR,yfbR
elaD,AZ05,C4,1,gene,-57,1,elaD,elaD
elaD,AZ05,C4,1,Operon,-57,1,elaD,elaD
serA,AZ05,C3,-1,gene,-86,1,serA,serA
serA,AZ05,C3,-1,Operon,-85,1,serA,serA
yfbJ,AZ05,C2,1,gene,-111,2,arnE,arnE
spr,AZ05,C1,1,gene,-61,1,mepS,mepS
spr,AZ05,C1,1,Operon,-61,1,mepS,mepS
hyfR,AZ05,C9,1,gene,-105,2,hyfR,hyfR
b2394,AZ05,C8,1,gene,-86,1,insL1,insL1
b2394,AZ05,C8,1,Operon,-86,1,insL-3,insL-3
torY,AZ17,G8,-1,Operon,-474,2,micL,micL
torY,AZ17,G8,-1,gene,-87,1,torY,torY
torY,AZ17,G8,-1,Operon,-86,1,torYZ,"torY,torZ"
yaiN,AZ17,G9,-1,gene,-67,1,frmR,frmR
yaiN,AZ17,G9,-1,Operon,-66,1,frmRAB,"frmR,frmA,frmB"
hemH,AZ07,E12,1,gene,-45,1,hemH,hemH
hemH,AZ07,E12,1,Operon,-45,1,hemH,hemH
grpE,AZ17,G1,-1,gene,-94,1,grpE,grpE
grpE,AZ17,G1,-1,Operon,-93,1,grpE,grpE
spy,AZ17,G2,-1,gene,-83,1,spy,spy
spy,AZ17,G2,-1,Operon,-82,1,spy,spy
ydjF,AZ17,G3,-1,gene,-96,1,ydjF,ydjF
ydjF,AZ17,G3,-1,Operon,-95,1,ydjF,ydjF
ydjL,AZ17,G4,-1,gene,-72,1,ydjL,ydjL
ydjL,AZ17,G4,-1,Operon,-71,1,ydjLKJIHG,"ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG"
rrmA,AZ17,G5,-1,gene,-79,1,rlmA,rlmA
rrmA,AZ17,G5,-1,Operon,-78,1,rlmA,rlmA
proQ,AZ17,G6,-1,gene,-679,1,proQ,proQ
proQ,AZ17,G6,-1,Operon,-678,1,proQ-prc,"proQ,prc"
pphA,AZ17,G7,-1,gene,-386,2,sdsR,sdsR
pphA,AZ17,G7,-1,Operon,-308,3,sdsR,sdsR
pphA,AZ17,G7,-1,gene,-71,1,pphA,pphA
pphA,AZ17,G7,-1,Operon,-70,1,pphA,pphA
psiE,AZ18,F7,1,gene,-98,1,psiE,psiE
psiE,AZ18,F7,1,Operon,-98,1,psiE,psiE
yjbB,AZ18,F4,1,gene,-74,1,yjbB,yjbB
yjbB,AZ18,F4,1,Operon,-74,1,yjbB,yjbB
yjbE,AZ18,F5,1,gene,-76,1,yjbE,yjbE
yjbE,AZ18,F5,1,Operon,-76,1,yjbEFGH,"yjbE,yjbF,yjbG,yjbH"
fimD,AZ18,F2,1,gene,-77,3,fimD,fimD
murB,AZ18,F1,1,gene,-81,1,murB,murB
murB,AZ18,F1,1,Operon,-81,1,murB-birA,"murB,birA"
yjbJ,AZ18,F8,1,gene,-74,1,yjbJ,yjbJ
yjbJ,AZ18,F8,1,Operon,-74,1,yjbJ,yjbJ
yjbI,AZ18,F9,1,gene,-285,2,yjbI,yjbI
yjbI,AZ18,F9,1,Operon,-33,3,yjbI,yjbI
yhjG,AZ02,D12,-1,gene,-65,1,yhjG,yhjG
yhjG,AZ02,D12,-1,Operon,-64,1,yhjG,yhjG
gadW,AZ02,D11,-1,gene,-284,2,gadW,gadW
hdeB,AZ02,D10,-1,gene,-80,2,hdeB,hdeB
potA,AZ14,G9,-1,gene,-85,1,potA,potA
potA,AZ14,G9,-1,Operon,-84,1,potABCD,"potA,potB,potC,potD"
ycfT,AZ14,G8,-1,gene,-98,1,ycfT,ycfT
ycfT,AZ14,G8,-1,Operon,-97,1,ycfT,ycfT
yadF,AZ14,G5,-1,gene,-96,1,can,can
yadF,AZ14,G5,-1,Operon,-95,1,can,can
ampH,AZ14,G4,-1,gene,-94,1,ampH,ampH
ampH,AZ14,G4,-1,Operon,-93,1,ampH,ampH
fepD,AZ14,G7,-1,gene,-100,1,fepD,fepD
fepD,AZ14,G7,-1,Operon,-99,1,fepDGC,"fepD,fepG,fepC"
ygeR,AZ14,G6,-1,gene,-70,1,ygeR,ygeR
ygeR,AZ14,G6,-1,Operon,-69,1,ygeR,ygeR
ybhA,AZ14,G1,-1,gene,-75,1,ybhA,ybhA
ybhA,AZ14,G1,-1,Operon,-74,1,ybhA,ybhA
b0656,AZ14,G3,-1,gene,-85,1,insH1,insH1
b0656,AZ14,G3,-1,Operon,-84,1,insH-3,insH-3
ybiM,AZ14,G2,-1,gene,55,1,mcbA,mcbA
ybiM,AZ14,G2,-1,Operon,56,1,mcbA,mcbA
nrdD,AZ17,E10,-1,gene,-84,1,nrdD,nrdD
nrdD,AZ17,E10,-1,Operon,-83,1,nrdDG,"nrdD,nrdG"
thiG,AZ17,E11,-1,gene,-204,2,thiS,thiS
thiG,AZ17,E11,-1,gene,-2,3,thiG,thiG
ychF,AZ17,E12,-1,gene,-97,2,ychF,ychF
malE,AZ01,F12,-1,gene,-86,1,malE,malE
malE,AZ01,F12,-1,Operon,-85,1,malEFG,"malE,malF,malG"
wrbA,AZ01,F10,-1,gene,-99,1,wrbA,wrbA
wrbA,AZ01,F10,-1,Operon,-98,1,wrbA-yccJ,"wrbA,yccJ"
thiM,AZ17,E6,-1,gene,-80,1,thiM,thiM
thiM,AZ17,E6,-1,Operon,-79,1,thiMD,"thiM,thiD"
ptsG,AZ01,F11,1,gene,-66,1,ptsG,ptsG
ptsG,AZ01,F11,1,Operon,-66,1,ptsG,ptsG
tufA,AZ09,B1,-1,gene,-97,3,tufA,tufA
slyD,AZ09,B2,-1,gene,-376,4,yheV,yheV
slyD,AZ09,B2,-1,gene,-81,1,slyD,slyD
slyD,AZ09,B2,-1,Operon,-80,1,slyD,slyD
rfaZ,AZ09,B3,-1,gene,-95,2,waaZ,waaZ
b0373,AZ13,G12,-1,Operon,-90,2,insEF-2E-2F-2,"insE-2,insEF-2,insF-2"
b0373,AZ13,G12,-1,gene,-82,3,insE1,insE1
blc,AZ09,B5,-1,gene,-92,1,blc,blc
blc,AZ09,B5,-1,Operon,-91,1,blc,blc
ygjN,AZ09,B6,-1,gene,-78,1,higB,higB
ygjN,AZ09,B6,-1,Operon,-77,1,higBA,"higB,higA"
yhbC,AZ09,B9,-1,gene,-62,2,rimP,rimP
yjaH,AZ11,E12,1,gene,-61,1,yjaH,yjaH
yjaH,AZ11,E12,1,Operon,-61,1,yjaH,yjaH
ybaT,AZ11,E10,1,gene,-71,3,ybaT,ybaT
yqeG,AZ16,G12,1,gene,-53,1,yqeG,yqeG
yqeG,AZ16,G12,1,Operon,-53,1,yqeG,yqeG
nupC,AZ16,G11,1,gene,-47,1,nupC,nupC
nupC,AZ16,G11,1,Operon,-47,1,nupC,nupC
fadL,AZ16,G10,1,gene,-72,1,fadL,fadL
fadL,AZ16,G10,1,Operon,-72,1,fadL,fadL
serA,AZ16,C3,-1,gene,-86,1,serA,serA
serA,AZ16,C3,-1,Operon,-85,1,serA,serA
ycaO,AZ16,C2,-1,gene,-70,1,ycaO,ycaO
ycaO,AZ16,C2,-1,Operon,-69,1,ycaO,ycaO
ycaN,AZ16,C1,-1,gene,-84,1,ycaN,ycaN
ycaN,AZ16,C1,-1,Operon,-83,1,ycaN,ycaN
ycfQ,AZ16,C7,-1,gene,-8,1,ycfQ,ycfQ
ycfQ,AZ16,C7,-1,Operon,-7,1,comR,comR
yceF,AZ16,C6,-1,gene,-54,1,yceF,yceF
yceF,AZ16,C6,-1,Operon,-53,1,yceF,yceF
b1027,AZ16,C5,-1,Operon,-90,1,insEF-4E-4F-4,"insE-4,insEF-4,insF-4"
b1027,AZ16,C5,-1,gene,-82,2,insE1,insE1
ycdM,AZ16,C4,-1,gene,-97,1,rutA,rutA
ycdM,AZ16,C4,-1,Operon,-96,1,rutABCDEFG,"rutA,rutB,rutC,rutD,rutE,rutF,rutG"
ydhP,AZ16,C9,-1,gene,-329,3,ynhF,ynhF
ydhP,AZ16,C9,-1,gene,-74,1,ydhP,ydhP
