UAL_promoter,Plate,Well,Strand,Type,Distance,Name,Genes,FeatureNo,Remove
hdhA,AZ06,A10,-1,Operon,-98,hdhA,hdhA,1,
pdxY,AZ06,A11,-1,gene,-73,pdxY,pdxY,1,
yfhH,AZ14,B10,1,gene,19,yfhH,yfhH,1,
yfhH,AZ14,B10,1,Operon,20,yfhH,yfhH,1,
yrbG,AZ14,B11,1,gene,-101,yrbG,yrbG,1,
yrbG,AZ14,B11,1,Operon,-100,yrbG-kdsDC-lptCAB-rpoN-hpf-ptsN-rapZ-npr,"yrbG,kdsD,kdsC,lptC,lptA,lptB,rpoN,hpf,ptsN,rapZ,npr",1,
yheS,AZ14,B12,1,gene,-101,yheS,yheS,1,
yheS,AZ14,B12,1,Operon,-100,yheSTU,"yheS,yheT,yheU",1,
ubiE,AZ07,F6,1,gene,-86,ubiE,ubiE,1,
ubiE,AZ07,F6,1,Operon,-85,ubiEJB,"ubiE,ubiJ,ubiB",1,
hemN,AZ07,F7,1,gene,-67,hemN,hemN,1,
hemN,AZ07,F7,1,Operon,-66,hemN,hemN,1,
pabC,AZ07,F4,1,gene,-38,pabC,pabC,1,
pabC,AZ07,F4,1,Operon,-37,pabC-mltG-tmk-holB-ycfH,"pabC,mltG,tmk,holB,ycfH",1,
molR_2,AZ07,F5,1,Operon,-61,molR_2,molR_2,1,
acpP,AZ07,F2,1,gene,-64,acpP,acpP,1,
ftsN,AZ11,C8,-1,gene,-91,ftsN,ftsN,1,
entF,AZ07,F1,1,gene,-298,ybdZ,ybdZ,1,TRUE
entF,AZ07,F1,1,gene,-83,entF,entF,2,TRUE
yjjV,AZ11,C6,1,gene,-184,yjjV,yjjV,1,
ibpB,AZ11,C7,-1,gene,-66,ibpB,ibpB,1,
otsB,AZ11,C4,-1,gene,-94,otsB,otsB,1,
otsB,AZ11,C4,-1,Operon,-94,otsBA,"otsB,otsA",1,
nlpI,AZ11,C5,-1,gene,-97,nlpI,nlpI,1,
nlpI,AZ11,C5,-1,Operon,-97,nlpI,nlpI,1,
hslJ,AZ11,C2,-1,gene,-93,hslJ,hslJ,1,
hslJ,AZ11,C2,-1,Operon,-93,hslJ,hslJ,1,
serA,AZ11,C3,-1,gene,-86,serA,serA,1,
serA,AZ11,C3,-1,Operon,-86,serA,serA,1,
mog,AZ07,F8,1,gene,-48,mog,mog,1,
mog,AZ07,F8,1,Operon,-47,mog,mog,1,
pspE,AZ07,F9,1,gene,-73,pspE,pspE,1,
clpX,AZ20,A8,1,gene,-29,clpX,clpX,1,
aldB,AZ12,B12,-1,gene,7,aldB,aldB,1,
aldB,AZ12,B12,-1,Operon,7,aldB,aldB,1,
yehS,AZ12,B10,-1,gene,-89,yehS,yehS,1,
yehS,AZ12,B10,-1,Operon,-89,yehS,yehS,1,
yihN,AZ12,B11,1,gene,106,yihN,yihN,1,
yihN,AZ12,B11,1,Operon,107,yihN,yihN,1,
yfjW,AZ19,D11,1,gene,135,yfjW,yfjW,1,
yfjW,AZ19,D11,1,Operon,136,yfjW,yfjW,1,
smpB,AZ19,D10,1,gene,-43,smpB,smpB,1,
smpB,AZ19,D10,1,Operon,-42,smpB,smpB,1,
glgB,AZ09,A11,-1,gene,-99,glgB,glgB,1,
glgB,AZ09,A11,-1,Operon,-99,glgBXCAP,"glgB,glgX,glgC,glgA,glgP",1,
serW,AZ08,D5,-1,gene,-74,serW,serW,1,
serW,AZ08,D5,-1,Operon,-74,serW,serW,1,
yadC,AZ08,D4,-1,gene,-98,yadC,yadC,1,
pcnB,AZ08,D7,-1,gene,-116,pcnB,pcnB,1,
pcnB,AZ08,D7,-1,Operon,-116,pcnB-folK,"pcnB,folK",1,
hepA,AZ08,D6,-1,gene,-70,rapA,rapA,1,
hepA,AZ08,D6,-1,Operon,-70,rapA-rluA,"rapA,rluA",1,
yaeH,AZ08,D1,-1,gene,-82,yaeH,yaeH,1,
yaeH,AZ08,D1,-1,Operon,-82,yaeH,yaeH,1,
yagI,AZ08,D3,-1,gene,-74,yagI,yagI,1,
yagI,AZ08,D3,-1,Operon,-74,yagI,yagI,1,
ykfA,AZ08,D2,-1,gene,-86,ykfA,ykfA,1,
ykfA,AZ08,D2,-1,Operon,-86,ykfA-yafZ,"ykfA,yafZ",1,
ybgS,AZ01,C12,-1,gene,-92,ybgS,ybgS,1,
ybgS,AZ01,C12,-1,Operon,-92,ybgS,ybgS,1,
pheS,AZ01,C11,-1,gene,-399,pheM,pheM,1,TRUE
pheS,AZ01,C11,-1,gene,-71,pheS,pheS,2,
dedA,AZ10,H10,-1,gene,-74,dedA,dedA,1,
intS,AZ05,C7,1,gene,-272,argW,argW,1,TRUE
intS,AZ05,C7,1,Operon,-271,argW,argW,1,TRUE
intS,AZ05,C7,1,gene,-36,intS,intS,2,
intS,AZ05,C7,1,Operon,-35,intS,intS,2,
yfcC,AZ05,C6,1,gene,-60,yfcC,yfcC,1,
yfcC,AZ05,C6,1,Operon,-59,yfcC,yfcC,1,
yfbR,AZ05,C5,1,gene,-92,yfbR,yfbR,1,
elaD,AZ05,C4,1,gene,-57,elaD,elaD,1,
elaD,AZ05,C4,1,Operon,-56,elaD,elaD,1,
serA,AZ05,C3,-1,gene,-86,serA,serA,1,
serA,AZ05,C3,-1,Operon,-86,serA,serA,1,
yfbJ,AZ05,C2,1,gene,-111,arnE,arnE,1,
spr,AZ05,C1,1,gene,-61,mepS,mepS,1,
spr,AZ05,C1,1,Operon,-60,mepS,mepS,1,
hyfR,AZ05,C9,1,gene,-105,hyfR,hyfR,1,
b2394,AZ05,C8,1,gene,-86,insL1,insL1,1,
b2394,AZ05,C8,1,Operon,-85,insL-3,insL-3,1,
torY,AZ17,G8,-1,Operon,-475,micL,micL,1,TRUE
torY,AZ17,G8,-1,gene,-87,torY,torY,1,
torY,AZ17,G8,-1,Operon,-87,torYZ,"torY,torZ",2,
yaiN,AZ17,G9,-1,gene,-67,frmR,frmR,1,
yaiN,AZ17,G9,-1,Operon,-67,frmRAB,"frmR,frmA,frmB",1,
hemH,AZ07,E12,1,gene,-45,hemH,hemH,1,
hemH,AZ07,E12,1,Operon,-44,hemH,hemH,1,
grpE,AZ17,G1,-1,gene,-94,grpE,grpE,1,
grpE,AZ17,G1,-1,Operon,-94,grpE,grpE,1,
spy,AZ17,G2,-1,gene,-83,spy,spy,1,
spy,AZ17,G2,-1,Operon,-83,spy,spy,1,
ydjF,AZ17,G3,-1,gene,-96,ydjF,ydjF,1,
ydjF,AZ17,G3,-1,Operon,-96,ydjF,ydjF,1,
ydjL,AZ17,G4,-1,gene,-72,ydjL,ydjL,1,
ydjL,AZ17,G4,-1,Operon,-72,ydjLKJIHG,"ydjL,ydjK,ydjJ,ydjI,ydjH,ydjG",1,
rrmA,AZ17,G5,-1,gene,-79,rlmA,rlmA,1,
rrmA,AZ17,G5,-1,Operon,-79,rlmA,rlmA,1,
proQ,AZ17,G6,-1,gene,-679,proQ,proQ,1,
proQ,AZ17,G6,-1,Operon,-679,proQ-prc,"proQ,prc",1,
pphA,AZ17,G7,-1,gene,-386,sdsR,sdsR,1,
pphA,AZ17,G7,-1,Operon,-309,sdsR,sdsR,1,
pphA,AZ17,G7,-1,gene,-71,pphA,pphA,2,
pphA,AZ17,G7,-1,Operon,-71,pphA,pphA,2,
psiE,AZ18,F7,1,gene,-98,psiE,psiE,1,
psiE,AZ18,F7,1,Operon,-97,psiE,psiE,1,
yjbB,AZ18,F4,1,gene,-74,yjbB,yjbB,1,
yjbB,AZ18,F4,1,Operon,-73,yjbB,yjbB,1,
yjbE,AZ18,F5,1,gene,-76,yjbE,yjbE,1,
yjbE,AZ18,F5,1,Operon,-75,yjbEFGH,"yjbE,yjbF,yjbG,yjbH",1,
fimD,AZ18,F2,1,gene,-77,fimD,fimD,1,
murB,AZ18,F1,1,gene,-81,murB,murB,1,
murB,AZ18,F1,1,Operon,-80,murB-birA,"murB,birA",1,
yjbJ,AZ18,F8,1,gene,-74,yjbJ,yjbJ,1,
yjbJ,AZ18,F8,1,Operon,-73,yjbJ,yjbJ,1,
yjbI,AZ18,F9,1,gene,-285,yjbI,yjbI,1,
yjbI,AZ18,F9,1,Operon,-32,yjbI,yjbI,1,
yhjG,AZ02,D12,-1,gene,-65,yhjG,yhjG,1,
yhjG,AZ02,D12,-1,Operon,-65,yhjG,yhjG,1,
gadW,AZ02,D11,-1,gene,-284,gadW,gadW,1,
hdeB,AZ02,D10,-1,gene,-80,hdeB,hdeB,1,
potA,AZ14,G9,-1,gene,-85,potA,potA,1,
potA,AZ14,G9,-1,Operon,-85,potABCD,"potA,potB,potC,potD",1,
ycfT,AZ14,G8,-1,gene,-98,ycfT,ycfT,1,
ycfT,AZ14,G8,-1,Operon,-98,ycfT,ycfT,1,
yadF,AZ14,G5,-1,gene,-96,can,can,1,
yadF,AZ14,G5,-1,Operon,-96,can,can,1,
ampH,AZ14,G4,-1,gene,-94,ampH,ampH,1,
ampH,AZ14,G4,-1,Operon,-94,ampH,ampH,1,
fepD,AZ14,G7,-1,gene,-100,fepD,fepD,1,
fepD,AZ14,G7,-1,Operon,-100,fepDGC,"fepD,fepG,fepC",1,
ygeR,AZ14,G6,-1,gene,-70,ygeR,ygeR,1,
ygeR,AZ14,G6,-1,Operon,-70,ygeR,ygeR,1,
ybhA,AZ14,G1,-1,gene,-75,ybhA,ybhA,1,
ybhA,AZ14,G1,-1,Operon,-75,ybhA,ybhA,1,
b0656,AZ14,G3,-1,gene,-85,insH1,insH1,1,
b0656,AZ14,G3,-1,Operon,-85,insH-3,insH-3,1,
ybiM,AZ14,G2,-1,gene,55,mcbA,mcbA,1,
ybiM,AZ14,G2,-1,Operon,55,mcbA,mcbA,1,
nrdD,AZ17,E10,-1,gene,-84,nrdD,nrdD,1,
nrdD,AZ17,E10,-1,Operon,-84,nrdDG,"nrdD,nrdG",1,
thiG,AZ17,E11,-1,gene,-204,thiS,thiS,1,TRUE
thiG,AZ17,E11,-1,gene,-2,thiG,thiG,2,TRUE
ychF,AZ17,E12,-1,gene,-97,ychF,ychF,1,
malE,AZ01,F12,-1,gene,-86,malE,malE,1,
malE,AZ01,F12,-1,Operon,-86,malEFG,"malE,malF,malG",1,
wrbA,AZ01,F10,-1,gene,-99,wrbA,wrbA,1,
wrbA,AZ01,F10,-1,Operon,-99,wrbA-yccJ,"wrbA,yccJ",1,
thiM,AZ17,E6,-1,gene,-80,thiM,thiM,1,
thiM,AZ17,E6,-1,Operon,-80,thiMD,"thiM,thiD",1,
ptsG,AZ01,F11,1,gene,-66,ptsG,ptsG,1,
ptsG,AZ01,F11,1,Operon,-65,ptsG,ptsG,1,
tufA,AZ09,B1,-1,gene,-97,tufA,tufA,1,
slyD,AZ09,B2,-1,gene,-376,yheV,yheV,1,TRUE
slyD,AZ09,B2,-1,gene,-81,slyD,slyD,2,
slyD,AZ09,B2,-1,Operon,-81,slyD,slyD,1,
rfaZ,AZ09,B3,-1,gene,-95,waaZ,waaZ,1,
b0373,AZ13,G12,-1,Operon,-91,insEF-2E-2F-2,"insE-2,insEF-2,insF-2",1,
b0373,AZ13,G12,-1,gene,-82,insE1,insE1,1,
blc,AZ09,B5,-1,gene,-92,blc,blc,1,
blc,AZ09,B5,-1,Operon,-92,blc,blc,1,
ygjN,AZ09,B6,-1,gene,-78,higB,higB,1,
ygjN,AZ09,B6,-1,Operon,-78,higBA,"higB,higA",1,
yhbC,AZ09,B9,-1,gene,-62,rimP,rimP,1,
yjaH,AZ11,E12,1,gene,-61,yjaH,yjaH,1,
yjaH,AZ11,E12,1,Operon,-60,yjaH,yjaH,1,
ybaT,AZ11,E10,1,gene,-71,ybaT,ybaT,1,
yqeG,AZ16,G12,1,gene,-53,yqeG,yqeG,1,
yqeG,AZ16,G12,1,Operon,-52,yqeG,yqeG,1,
nupC,AZ16,G11,1,gene,-47,nupC,nupC,1,
nupC,AZ16,G11,1,Operon,-46,nupC,nupC,1,
fadL,AZ16,G10,1,gene,-72,fadL,fadL,1,
fadL,AZ16,G10,1,Operon,-71,fadL,fadL,1,
serA,AZ16,C3,-1,gene,-86,serA,serA,1,
serA,AZ16,C3,-1,Operon,-86,serA,serA,1,
ycaO,AZ16,C2,-1,gene,-70,ycaO,ycaO,1,
ycaO,AZ16,C2,-1,Operon,-70,ycaO,ycaO,1,
ycaN,AZ16,C1,-1,gene,-84,ycaN,ycaN,1,
ycaN,AZ16,C1,-1,Operon,-84,ycaN,ycaN,1,
ycfQ,AZ16,C7,-1,gene,-8,ycfQ,ycfQ,1,
ycfQ,AZ16,C7,-1,Operon,-8,comR,comR,1,
