Plate,Well,Gene_Name,Strand,Amplicons,Amplicon_length,Mapping,Primer1_e,Primer1_query_start,Primer1_query_end,Primer1_target_start,Primer1_target_end,Primer2_e,Primer2_query_start,Primer2_query_end,Primer2_target_start,Primer2_target_end
AZ10,E9,yccF,-1,1,267,1024535..1024268,0.00352928,1,18,1024535,1024552,0.000893177,47,65,1024286,1024268
AZ19,C1,rpsL,-1,1,236,3474689..3474453,0.00352928,1,18,3474689,3474706,0.00352928,47,64,3474470,3474453
AZ08,G8,pgpB,1,1,292,1339071..1339363,0.00352928,10,27,1339071,1339088,0.000893177,48,66,1339345,1339363
AZ08,G9,yfdC,1,1,449,2464920..2465369,0.00352928,10,27,2464920,2464937,0.00352928,48,65,2465352,2465369
AZ08,G1,yfiF,-1,1,356,2718789..2718433,0.00352928,1,18,2718789,2718806,0.000893177,47,65,2718451,2718433
AZ08,G2,rof,-1,1,501,214361..213860,0.00364891,1,18,214361,214378,0.000923454,47,65,213878,213860
AZ08,G3,qseB,1,1,292,3169597..3169889,0.00352928,10,27,3169597,3169614,0.000893177,48,66,3169871,3169889
AZ08,G4,zupT,1,1,249,3182353..3182602,0.000908316,10,28,3182353,3182371,0.000908316,49,67,3182584,3182602
AZ08,G5,ecfG,1,1,410,3200884..3201294,0.00352928,10,27,3200884,3200901,0.00352928,48,65,3201277,3201294
AZ08,G6,yqjI,1,1,435,3216411..3216846,0.000893177,9,27,3216411,3216429,0.000893177,48,66,3216828,3216846
AZ08,G7,ybaY,1,1,370,475092..475462,0.000908316,10,28,475092,475110,0.00358909,49,66,475445,475462
AZ05,H10,guaC,1,1,383,113151..113534,0.00352928,10,27,113151,113168,0.00352928,48,65,113517,113534
AZ05,H11,barA,1,1,170,2914908..2915078,0.00352928,10,27,2914908,2914925,0.000893177,48,66,2915060,2915078
AZ05,H12,ygjO,-1,1,129,3235951..3235822,0.00358909,1,18,3235951,3235968,0.00358909,47,64,3235839,3235822
AZ19,C11,yfhM,-1,1,200,2652399..2652199,0.00352928,1,18,2652399,2652416,0.00352928,47,64,2652216,2652199
AZ19,C12,yphG,-1,1,145,2682883..2682738,0.00358909,1,18,2682883,2682900,0.00358909,47,64,2682755,2682738
AZ01,D10,argE,-1,1,268,4155040..4154772,0.00352928,1,18,4155040,4155057,0.00352928,47,64,4154789,4154772
AZ01,D11,yjaB,-1,1,315,4214354..4214039,5.7206e-05,1,21,4214354,4214374,0.00352928,47,64,4214056,4214039
AZ01,D12,ytjB,-1,1,224,4624930..4624706,0.00352928,1,18,4624930,4624947,0.00352928,47,64,4624723,4624706
AZ17,F9,yneF,-1,1,270,1612048..1611778,0.00358909,1,18,1612048,1612065,0.000908316,47,65,1611796,1611778
AZ17,F8,ydeV,-1,1,204,1600344..1600140,0.00358909,1,18,1600344,1600361,0.00358909,47,64,1600157,1600140
AZ17,H11,ydcM,1,1,669,1503040..1503709,0.00352928,10,27,1503040,1503057,5.7206e-05,48,68,1503689,1503709
AZ17,H10,ydcG,1,1,348,1496550..1496898,0.000893177,9,27,1496550,1496568,0.00352928,48,65,1496881,1496898
AZ17,H12,thiC,-1,1,350,4196358..4196008,0.00352928,1,18,4196358,4196375,0.00352928,47,64,4196025,4196008
AZ17,F2,yciW,-1,1,207,1350316..1350109,0.000893177,1,19,1350316,1350334,0.000893177,47,65,1350127,1350109
AZ17,F1,kch,-1,1,431,1310613..1310182,0.000226042,1,20,1310613,1310632,0.00352928,47,64,1310199,1310182
AZ17,F7,ydeQ,-1,1,182,1587819..1587637,0.00352928,1,18,1587819,1587836,0.00352928,47,64,1587654,1587637
AZ17,F6,yddL,-1,1,388,1546345..1545957,0.00346946,1,18,1546345,1546362,0.0137091,47,63,1545973,1545957
AZ17,F5,pinR,-1,1,468,1434062..1433594,0.000908316,1,19,1434062,1434080,0.00358909,48,65,1433611,1433594
AZ17,F4,mpaA,-1,0,0,1390980..0,0.00340964,1,18,1390980,1390997,,0,0,0,0
AZ18,G9,ytfI,1,1,339,4437412..4437751,0.00358909,10,27,4437412,4437429,0.000908316,48,66,4437733,4437751
AZ18,G8,yjfK,1,1,184,4411151..4411335,0.00352928,10,27,4411151,4411168,0.00352928,48,65,4411318,4411335
AZ18,G1,yjcD,1,1,713,4277848..4278561,0.00346946,9,26,4277848,4277865,5.62364e-05,47,67,4278541,4278561
AZ18,G3,yjeI,1,1,288,4372580..4372868,0.00352928,10,27,4372580,4372597,0.00352928,48,65,4372851,4372868
AZ18,G2,yjdK,1,1,350,4352088..4352438,0.000893177,9,27,4352088,4352106,0.00352928,48,65,4352421,4352438
AZ18,G5,b2861,-1,1,238,2997750..2997512,0.00352928,1,18,2997750,2997767,0.00352928,47,64,2997529,2997512
AZ18,G4,yjeN,1,1,217,4385249..4385466,0.000893177,9,27,4385249,4385267,0.00352928,48,65,4385449,4385466
AZ18,G7,yjfI,1,1,252,4409927..4410179,0.00352928,10,27,4409927,4409944,0.00352928,48,65,4410162,4410179
AZ18,G6,yjeB,1,1,330,4405901..4406231,0.00352928,10,27,4405901,4405918,0.00352928,48,65,4406214,4406231
AZ14,D1,yojI,-1,1,171,2308718..2308547,0.000893177,1,19,2308718,2308736,0.00352928,47,64,2308564,2308547
AZ14,D2,hisQ,-1,1,262,2426087..2425825,0.00358909,1,18,2426087,2426104,0.000908316,47,65,2425843,2425825
AZ14,D3,cysW,-1,1,512,2541684..2541172,0.00352928,1,18,2541684,2541701,0.00352928,47,64,2541189,2541172
AZ14,D4,ugpA,-1,1,246,3591058..3590812,0.000893177,1,19,3591058,3591076,0.00352928,47,64,3590829,3590812
AZ14,D5,dppB,-1,1,482,3706180..3705698,0.00358909,1,18,3706180,3706197,0.000908316,47,65,3705716,3705698
AZ14,D6,pstC,-1,1,214,3910533..3910319,0.00352928,1,18,3910533,3910550,0.000893177,47,65,3910337,3910319
AZ14,D7,alsA,-1,1,234,4311144..4310910,0.000233705,1,20,4311144,4311163,0.000233705,47,66,4310929,4310910
AZ14,D8,phnC,-1,1,270,4325333..4325063,0.00358909,1,18,4325333,4325350,1.47229e-05,47,68,4325084,4325063
AZ14,D9,ybdF,-1,1,150,605968..605818,0.00352928,1,18,605968,605985,0.00352928,47,64,605835,605818
AZ10,E8,ybfF,-1,1,340,713062..712722,0.00352928,1,18,713062,713079,0.00352928,47,64,712739,712722
AZ19,C8,rpsM,-1,1,267,3442647..3442380,1.44775e-05,1,22,3442647,3442668,0.00352928,47,64,3442397,3442380
AZ02,D5,atpI,-1,1,720,3923083..3922363,0.00364891,1,18,3923083,3923100,0.000233705,47,66,3922382,3922363
AZ09,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ09,C2,yhcO,-1,1,229,3386273..3386044,0.00352928,1,18,3386273,3386290,0.00352928,47,64,3386061,3386044
AZ09,C1,yhbE,-1,1,251,3332887..3332636,0.00352928,1,18,3332887,3332904,0.00352928,47,64,3332653,3332636
AZ09,C7,yheO,-1,1,261,3476628..3476367,0.00352928,1,18,3476628,3476645,0.00352928,47,64,3476384,3476367
AZ09,C6,bfd,-1,1,285,3467197..3466912,0.00352928,1,18,3467197,3467214,0.00352928,47,64,3466929,3466912
AZ09,C5,yhdN,-1,1,276,3439689..3439413,0.00352928,1,18,3439689,3439706,0.00352928,47,64,3439430,3439413
AZ09,C4,smf,-1,1,232,3433710..3433478,0.000893177,1,19,3433710,3433728,0.00352928,47,64,3433495,3433478
AZ09,C9,ygjJ,1,1,308,3227575..3227883,0.000893177,9,27,3227575,3227593,0.00352928,48,65,3227866,3227883
AZ09,C8,yhfG,-1,1,224,3491758..3491534,0.00352928,1,18,3491758,3491775,0.000893177,47,65,3491552,3491534
AZ13,D11,ahpC,1,1,464,638536..639000,0.00352928,10,27,638536,638553,0.00352928,48,65,638983,639000
AZ18,A6,thiL,1,1,198,435460..435658,0.00352928,10,27,435460,435477,0.00352928,48,65,435641,435658
AZ18,A4,dusB,1,1,492,3409880..3410372,0.000893177,9,27,3409880,3409898,0.000893177,48,66,3410354,3410372
AZ16,D6,yabN,-1,1,446,77657..77211,0.00352928,1,18,77657,77674,0.00352928,47,64,77228,77211
AZ16,D7,yebA,-1,1,181,1941665..1941484,0.00352928,1,18,1941665,1941682,0.000893177,47,65,1941502,1941484
AZ16,D4,ribE,-1,1,355,1743507..1743152,0.00352928,1,18,1743507,1743524,0.00352928,47,64,1743169,1743152
AZ16,D5,kdgR,-1,1,160,1910172..1910012,0.00346946,1,18,1910172,1910189,0.00346946,47,64,1910029,1910012
AZ16,D2,ynfL,-1,1,230,1669731..1669501,0.000893177,1,19,1669731,1669749,0.00352928,47,64,1669518,1669501
AZ16,D3,ydhB,-1,1,277,1739983..1739706,0.000893177,1,19,1739983,1740001,0.00352928,47,64,1739723,1739706
AZ16,D1,fsr,-1,1,311,504936..504625,0.00352928,1,18,504936,504953,0.00352928,47,64,504642,504625
AZ16,D8,ptsA,-1,1,115,4141889..4141774,0.00352928,1,18,4141889,4141906,0.00352928,47,64,4141791,4141774
AZ16,D9,gntP,-1,1,505,4551705..4551200,0.000908316,1,19,4551705,4551723,0.000908316,47,65,4551218,4551200
AZ12,C9,yafD,1,1,409,230781..231190,0.00352928,10,27,230781,230798,0.000226042,48,67,231171,231190
AZ12,C8,ybeB,-1,1,508,669336..668828,0.00352928,1,18,669336,669353,0.00352928,47,64,668845,668828
AZ12,C7,yafU,-1,1,485,239479..238994,0.00352928,1,18,239479,239496,0.00352928,47,64,239011,238994
AZ12,C6,ompN,-1,1,462,1437283..1436821,0.00352928,1,18,1437283,1437300,0.00352928,47,64,1436838,1436821
AZ12,C5,ydeP,-1,1,444,1586848..1586404,0.000923454,1,19,1586848,1586866,0.000233705,47,66,1586423,1586404
AZ12,C4,yrbA,-1,1,288,3337025..3336737,0.00352928,1,18,3337025,3337042,0.00352928,47,64,3336754,3336737
AZ12,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ12,C2,cytR,-1,1,257,4124623..4124366,0.00352928,1,18,4124623,4124640,0.00352928,47,64,4124383,4124366
AZ12,C1,yafV,-1,1,241,240356..240115,0.000908316,1,19,240356,240374,0.00358909,48,65,240132,240115
AZ17,B12,yffS,1,1,264,2564301..2564565,0.000226042,8,27,2564301,2564320,0.00352928,48,65,2564548,2564565
AZ17,B11,yfdQ,1,1,242,2473892..2474134,0.00352928,10,27,2473892,2473909,0.000226042,48,67,2474115,2474134
AZ17,B10,yfdG,1,1,317,2467610..2467927,0.000233705,9,28,2467610,2467629,0.000923454,49,67,2467909,2467927
AZ16,H10,zntA,1,1,210,3606308..3606518,0.00352928,10,27,3606308,3606325,0.00352928,48,65,3606501,3606518
AZ16,H11,lctP,1,1,544,3776930..3777474,0.00352928,10,27,3776930,3776947,0.00352928,48,65,3777457,3777474
AZ16,H12,rbsD,1,1,551,3932782..3933333,0.000908316,10,28,3932782,3932800,0.00358909,49,66,3933316,3933333
AZ06,A10,hdhA,-1,1,256,1698198..1697942,0.00352928,1,18,1698198,1698215,0.00352928,47,64,1697959,1697942
AZ06,A11,pdxY,-1,1,157,1715973..1715816,0.00352928,1,18,1715973,1715990,0.00352928,47,64,1715833,1715816
AZ14,B10,yfhH,1,1,326,2698413..2698739,0.00352928,10,27,2698413,2698430,0.00352928,48,65,2698722,2698739
AZ14,B11,yrbG,1,1,383,3339992..3340375,0.00352928,10,27,3339992,3340009,0.00352928,48,65,3340358,3340375
AZ14,B12,yheS,1,1,307,3481082..3481389,0.000226042,8,27,3481082,3481101,0.000226042,48,67,3481370,3481389
AZ07,F6,ubiE,1,1,281,4018659..4018940,0.000893177,9,27,4018659,4018677,0.00352928,48,65,4018923,4018940
AZ07,F7,hemN,1,1,346,4051765..4052111,0.00352928,10,27,4051765,4051782,0.00352928,48,65,4052094,4052111
AZ07,F4,pabC,1,1,249,1153088..1153337,0.00352928,10,27,1153088,1153105,0.00352928,48,65,1153320,1153337
AZ07,F5,molR_2,1,1,261,2197210..2197471,0.000908316,10,28,2197210,2197228,0.00358909,49,66,2197454,2197471
AZ07,F2,acpP,1,1,355,1151323..1151678,0.00352928,10,27,1151323,1151340,0.00352928,48,65,1151661,1151678
AZ11,C8,ftsN,-1,1,234,4123482..4123248,0.000893177,1,19,4123482,4123500,0.00352928,47,64,4123265,4123248
AZ07,F1,entF,1,1,380,613859..614239,0.00352928,10,27,613859,613876,0.00352928,48,65,614222,614239
AZ11,C6,yjjV,1,1,267,4613397..4613664,0.00352928,10,27,4613397,4613414,0.00352928,48,65,4613647,4613664
AZ11,C7,ibpB,-1,1,205,3867036..3866831,0.000893177,1,19,3867036,3867054,0.00352928,47,64,3866848,3866831
AZ11,C4,otsB,-1,1,261,1982554..1982293,0.00352928,1,18,1982554,1982571,0.000893177,47,65,1982311,1982293
AZ11,C5,nlpI,-1,1,208,3309035..3308827,0.00352928,1,18,3309035,3309052,0.00352928,47,64,3308844,3308827
AZ11,C2,hslJ,-1,1,221,1441871..1441650,0.00352928,1,18,1441871,1441888,0.00352928,47,64,1441667,1441650
AZ11,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ07,F8,mog,1,1,232,9121..9353,0.00352928,10,27,9121,9138,0.00352928,48,65,9336,9353
AZ07,F9,pspE,1,1,247,1369514..1369761,0.00352928,10,27,1369514,1369531,0.000893177,48,66,1369743,1369761
AZ20,A8,clpX,1,1,244,457210..457454,0.00352928,10,27,457210,457227,0.00352928,48,65,457437,457454
AZ12,B12,aldB,-1,1,234,3756752..3756518,0.00352928,1,18,3756752,3756769,0.00352928,47,64,3756535,3756518
AZ12,B10,yehS,-1,1,202,2212309..2212107,0.00352928,1,18,2212309,2212326,0.000893177,47,65,2212125,2212107
AZ12,B11,yihN,1,1,269,4061871..4062140,0.00358909,10,27,4061871,4061888,0.000908316,48,66,4062122,4062140
AZ19,D11,yfjW,1,1,387,2772795..2773182,0.000226042,8,27,2772795,2772814,0.00352928,48,65,2773165,2773182
AZ19,D10,smpB,1,1,254,2754684..2754938,0.00352928,10,27,2754684,2754701,0.000893177,48,66,2754920,2754938
AZ09,A11,glgB,-1,1,433,3573836..3573403,0.00352928,1,18,3573836,3573853,0.00352928,47,64,3573420,3573403
AZ09,A10,rbfA,-1,0,0,3313421..0,0.00191418,1,18,3313421,3313438,,0,0,0,0
AZ08,D5,serW,-1,1,361,926258..925897,0.00352928,1,18,926258,926275,0.000893177,47,65,925915,925897
AZ08,D4,yadC,-1,1,220,151075..150855,0.00364891,1,18,151075,151092,0.000233705,47,66,150874,150855
AZ08,D7,pcnB,-1,1,238,159248..159010,0.00358909,1,18,159248,159265,0.000908316,47,65,159028,159010
AZ08,D6,hepA,-1,1,312,63506..63194,0.000893177,1,19,63506,63524,0.00352928,47,64,63211,63194
AZ08,D1,yaeH,-1,1,295,184308..184013,0.00352928,1,18,184308,184325,0.00352928,47,64,184030,184013
AZ08,D3,yagI,-1,1,291,289379..289088,0.000893177,1,19,289379,289397,0.00352928,47,64,289105,289088
AZ08,D2,ykfA,-1,1,492,269366..268874,0.00352928,1,18,269366,269383,0.00352928,47,64,268891,268874
AZ08,D9,tyrV,-1,8,225,1287589..1287364,0.000893177,1,19,1287589,1287607,0.00352928,48,65,1287381,1287364
AZ08,D9,tyrV,-1,8,228,1287295..1287067,0.000893177,1,19,1287295,1287313,0.00352928,48,65,1287084,1287067
AZ08,D9,tyrV,-1,8,344,1287589..1287245,0.000893177,1,19,1287589,1287607,0.000893177,47,65,1287263,1287245
AZ08,D9,tyrV,-1,8,406,1287295..1286889,0.000893177,1,19,1287295,1287313,0.00352928,48,65,1286906,1286889
AZ08,D9,tyrV,-1,8,522,1287589..1287067,0.000893177,1,19,1287589,1287607,0.00352928,48,65,1287084,1287067
AZ08,D9,tyrV,-1,8,584,1287295..1286711,0.000893177,1,19,1287295,1287313,0.00352928,48,65,1286728,1286711
AZ08,D9,tyrV,-1,8,700,1287589..1286889,0.000893177,1,19,1287589,1287607,0.00352928,48,65,1286906,1286889
AZ08,D9,tyrV,-1,8,878,1287589..1286711,0.000893177,1,19,1287589,1287607,0.00352928,48,65,1286728,1286711
AZ01,C12,ybgS,-1,1,464,785689..785225,0.00352928,1,18,785689,785706,0.00352928,47,64,785242,785225
AZ01,C11,pheS,-1,1,438,1799309..1798871,0.00352928,1,18,1799309,1799326,0.00352928,47,64,1798888,1798871
AZ10,H10,dedA,-1,1,181,2434848..2434667,0.00352928,1,18,2434848,2434865,0.000893177,47,65,2434685,2434667
AZ10,H11,yfeA,-1,2,187,2518042..2517855,0.00352928,1,18,2518042,2518059,0.00352928,47,64,2517872,2517855
AZ10,H11,yfeA,-1,2,302,2518157..2517855,0.00352928,1,18,2518157,2518174,0.00352928,47,64,2517872,2517855
AZ05,C7,intS,1,1,293,2466287..2466580,0.00352928,10,27,2466287,2466304,0.00352928,48,65,2466563,2466580
AZ05,C6,yfcC,1,1,333,2416807..2417140,0.00352928,10,27,2416807,2416824,0.00352928,48,65,2417123,2417140
AZ05,C5,yfbR,1,1,264,2408689..2408953,0.00352928,10,27,2408689,2408706,0.00352928,48,65,2408936,2408953
AZ05,C4,elaD,1,1,344,2382425..2382769,0.000923454,10,28,2382425,2382443,0.000233705,49,68,2382750,2382769
AZ05,C3,serA,-1,1,363,3058687..3058324,0.00346946,1,18,3058687,3058704,0.0137091,47,63,3058340,3058324
AZ05,C2,yfbJ,1,1,184,2372483..2372667,0.00352928,10,27,2372483,2372500,0.000893177,48,66,2372649,2372667
AZ05,C1,spr,1,1,560,2269479..2270039,0.000893177,9,27,2269479,2269497,0.00352928,48,65,2270022,2270039
AZ05,C9,hyfR,1,1,233,2611771..2612004,0.00352928,10,27,2611771,2611788,0.000893177,48,66,2611986,2612004
AZ05,C8,b2394,1,1,260,2514156..2514416,0.00358909,10,27,2514156,2514173,5.81756e-05,48,68,2514396,2514416
AZ17,G8,torY,-1,1,548,1958593..1958045,0.00352928,1,18,1958593,1958610,0.000226042,47,66,1958064,1958045
AZ17,G9,yaiN,-1,1,306,380120..379814,0.00352928,1,18,380120,380137,0.00352928,47,64,379831,379814
AZ07,E12,hemH,1,1,376,497723..498099,0.00352928,10,27,497723,497740,0.00352928,48,65,498082,498099
AZ17,G1,grpE,-1,1,289,2750903..2750614,0.00352928,1,18,2750903,2750920,0.00352928,47,64,2750631,2750614
AZ17,G2,spy,-1,1,425,1825967..1825542,0.000893177,1,19,1825967,1825985,0.00352928,47,64,1825559,1825542
AZ17,G3,ydjF,-1,1,271,1855029..1854758,0.00364891,1,18,1855029,1855046,0.000233705,47,66,1854777,1854758
AZ17,G4,ydjL,-1,1,453,1861713..1861260,0.00352928,1,18,1861713,1861730,0.00352928,47,64,1861277,1861260
AZ17,G5,rrmA,-1,1,277,1907258..1906981,0.00352928,1,18,1907258,1907275,0.00352928,47,64,1906998,1906981
AZ17,G6,proQ,-1,1,831,1915686..1914855,0.00352928,1,18,1915686,1915703,0.000893177,47,65,1914873,1914855
AZ17,G7,pphA,-1,1,513,1923411..1922898,3.66392e-06,1,23,1923411,1923433,0.00352928,47,64,1922915,1922898
AZ18,F6,yjbF,1,0,0,0..4236275,,0,0,0,0,0.00340964,46,63,4236258,4236275
AZ18,F7,psiE,1,1,766,4239656..4240422,5.81756e-05,8,28,4239656,4239676,0.00358909,49,66,4240405,4240422
AZ18,F4,yjbB,1,1,391,4227413..4227804,0.000908316,10,28,4227413,4227431,0.00358909,49,66,4227787,4227804
AZ18,F5,yjbE,1,1,673,4235308..4235981,0.000233705,10,29,4235308,4235327,0.000923454,50,68,4235963,4235981
AZ18,F2,fimD,1,1,230,4544942..4545172,0.000229873,9,28,4544942,4544961,0.00358909,49,66,4545155,4545172
AZ18,F1,murB,1,1,451,4171686..4172137,0.000226042,8,27,4171686,4171705,0.00352928,48,65,4172120,4172137
AZ18,F8,yjbJ,1,1,275,4259035..4259310,0.00352928,10,27,4259035,4259052,0.00352928,48,65,4259293,4259310
AZ18,F9,yjbI,1,1,584,4250403..4250987,0.000893177,9,27,4250403,4250421,0.00352928,48,65,4250970,4250987
AZ02,D12,yhjG,-1,1,187,3678472..3678285,0.000893177,1,19,3678472,3678490,0.00352928,47,64,3678302,3678285
AZ02,D11,gadW,-1,1,538,3664872..3664334,0.00352928,1,18,3664872,3664889,0.00352928,47,64,3664351,3664334
AZ02,D10,hdeB,-1,1,272,3656484..3656212,0.00352928,1,18,3656484,3656501,0.00352928,47,64,3656229,3656212
AZ14,G9,potA,-1,1,401,1185910..1185509,0.000893177,1,19,1185910,1185928,0.00352928,47,64,1185526,1185509
AZ14,G8,ycfT,-1,1,423,1175490..1175067,0.00364891,1,18,1175490,1175507,0.000233705,47,66,1175086,1175067
AZ14,G5,yadF,-1,1,238,142812..142574,0.00352928,1,18,142812,142829,0.00352928,47,64,142591,142574
AZ14,G4,ampH,-1,1,484,396677..396193,0.000226042,1,20,396677,396696,0.00352928,47,64,396210,396193
AZ14,G7,fepD,-1,1,243,622332..622089,0.000226042,1,20,622332,622351,0.000893177,47,65,622107,622089
AZ14,G6,ygeR,-1,1,555,3000376..2999821,0.00352928,1,18,3000376,3000393,0.000893177,47,65,2999839,2999821
AZ14,G1,ybhA,-1,1,309,798665..798356,0.00352928,1,18,798665,798682,0.00352928,47,64,798373,798356
AZ14,G3,b0656,-1,1,418,689346..688928,0.00352928,1,18,689346,689363,0.00352928,47,64,688945,688928
AZ14,G2,ybiM,-1,1,216,842327..842111,0.00352928,1,18,842327,842344,0.000893177,47,65,842129,842111
AZ17,E10,nrdD,-1,1,519,4463095..4462576,0.000893177,1,19,4463095,4463113,0.00352928,47,64,4462593,4462576
AZ17,E11,thiG,-1,1,262,4192895..4192633,0.00352928,1,18,4192895,4192912,0.00352928,47,64,4192650,4192633
AZ17,E12,ychF,-1,1,225,1257940..1257715,0.00352928,1,18,1257940,1257957,0.000893177,47,65,1257733,1257715
AZ01,F12,malE,-1,1,475,4246808..4246333,0.00352928,1,18,4246808,4246825,0.00352928,47,64,4246350,4246333
AZ01,F10,wrbA,-1,1,346,1067955..1067609,0.00352928,1,18,1067955,1067972,0.00352928,47,64,1067626,1067609
AZ17,E6,thiM,-1,1,366,2185587..2185221,0.000893177,1,19,2185587,2185605,0.00352928,47,64,2185238,2185221
AZ01,F11,ptsG,1,1,435,1157499..1157934,0.00352928,10,27,1157499,1157516,0.00352928,48,65,1157917,1157934
AZ09,B1,tufA,-1,1,203,3471435..3471232,0.00352928,1,18,3471435,3471452,0.000893177,47,65,3471250,3471232
AZ09,B2,slyD,-1,1,412,3478828..3478416,0.000908316,1,19,3478828,3478846,0.000908316,47,65,3478434,3478416
AZ09,B3,rfaZ,-1,1,172,3800273..3800101,0.00352928,1,18,3800273,3800290,0.00352928,47,64,3800118,3800101
AZ13,G12,b0373,-1,1,246,393065..392819,0.00352928,1,18,393065,393082,0.00352928,47,64,392836,392819
AZ09,B5,blc,-1,1,248,4377878..4377630,0.00352928,1,18,4377878,4377895,0.00352928,47,64,4377647,4377630
AZ09,B6,ygjN,-1,1,421,3234798..3234377,0.00358909,1,18,3234798,3234815,0.000908316,47,65,3234395,3234377
AZ13,G11,b0332,1,3,160,349874..350034,0.000893177,9,27,349874,349892,0.00352928,48,65,350017,350034
AZ13,G11,b0332,1,3,253,349781..350034,0.000893177,9,27,349781,349799,0.00352928,48,65,350017,350034
AZ13,G11,b0332,1,3,346,349688..350034,0.000893177,9,27,349688,349706,0.00352928,48,65,350017,350034
AZ09,B8,yhaM,-1,0,0,0..3255826,,0,0,0,0,0.000893177,47,65,3255844,3255826
AZ09,B9,yhbC,-1,1,319,3318263..3317944,0.00352928,1,18,3318263,3318280,0.00352928,47,64,3317961,3317944
AZ11,E12,yjaH,1,1,159,4200467..4200626,0.00352928,10,27,4200467,4200484,0.00352928,48,65,4200609,4200626
AZ11,E10,ybaT,1,1,158,512488..512646,0.00352928,10,27,512488,512505,0.000226042,48,67,512627,512646
AZ11,E11,yafN,1,0,0,0..252035,,0,0,0,0,0.000878039,46,64,252017,252035
AZ16,G12,yqeG,1,1,398,2985501..2985899,0.00352928,10,27,2985501,2985518,0.000893177,48,66,2985881,2985899
AZ16,G11,nupC,1,1,465,2512623..2513088,0.0137091,10,26,2512623,2512639,0.00346946,47,64,2513071,2513088
AZ16,G10,fadL,1,1,488,2460889..2461377,0.00352928,10,27,2460889,2460906,0.000893177,48,66,2461359,2461377
